"","SEX_label","JWTR_label","JWMNP","AGEP","PINCP"
"188","Female","Walked",20,42,60000
"189","Female","Walked",20,43,140000
"190","Female","Walked",10,30,73000
"191","Female","Walked",10,29,75000
"192","Female","Walked",5,56,15000
"193","Female","Walked",55,54,35300
"194","Female","Walked",6,37,57300
"195","Female","Walked",30,39,20000
"196","Female","Walked",15,22,13500
"197","Female","Walked",25,27,34400
"198","Female","Walked",42,45,180000
"199","Female","Walked",20,56,12260
"200","Female","Walked",12,35,71500
"201","Female","Walked",2,44,46600
"202","Female","Walked",30,30,85000
"203","Female","Walked",60,43,9000
"204","Female","Walked",5,68,115000
"205","Female","Walked",15,37,70000
"206","Female","Walked",20,84,44000
"207","Female","Walked",5,28,70000
"208","Female","Walked",15,27,50000
"209","Female","Walked",1,21,7600
"210","Female","Walked",2,29,62000
"211","Female","Walked",1,52,85000
"212","Female","Walked",7,42,29000
"213","Female","Walked",10,26,8000
"214","Female","Walked",3,62,140000
"215","Female","Walked",22,23,33000
"216","Female","Walked",20,28,20000
"217","Female","Walked",5,43,27000
"218","Female","Walked",15,27,68120
"219","Female","Walked",30,28,43000
"220","Female","Walked",10,25,12000
"221","Female","Walked",7,64,90000
"222","Female","Walked",2,27,25000
"223","Female","Walked",5,67,38300
"224","Female","Walked",30,26,60000
"225","Female","Walked",7,77,142000
"226","Female","Walked",30,57,11000
"227","Female","Walked",20,31,7500
"228","Female","Walked",5,37,55000
"229","Female","Walked",3,33,175000
"230","Female","Walked",15,24,135000
"231","Female","Walked",12,30,52000
"232","Female","Walked",10,45,12800
"233","Female","Walked",30,72,62000
"234","Female","Walked",20,48,22300
"235","Female","Walked",15,73,21500
"236","Female","Walked",10,52,16900
"237","Female","Walked",5,61,8200
"238","Female","Walked",15,20,2000
"239","Female","Walked",15,55,30000
"240","Female","Walked",10,55,46000
"241","Female","Walked",15,19,5000
"242","Female","Walked",15,60,25000
"243","Female","Walked",7,40,68000
"244","Female","Walked",7,41,64000
"245","Female","Walked",15,57,12000
"246","Female","Walked",15,51,60000
"247","Female","Walked",35,54,120000
"248","Female","Walked",5,26,139000
"249","Female","Walked",10,50,46200
"250","Female","Walked",5,42,22000
"251","Female","Walked",10,46,133900
"252","Female","Walked",10,66,8600
"253","Female","Walked",15,64,250000
"254","Female","Walked",34,62,202700
"255","Female","Walked",10,32,11000
"256","Female","Walked",15,32,179000
"257","Female","Walked",20,56,17900
"258","Female","Walked",5,62,25740
"259","Female","Walked",15,19,12000
"260","Female","Walked",3,27,12500
"261","Female","Walked",10,21,5000
"262","Female","Walked",10,21,5000
"263","Female","Walked",20,23,28000
"264","Female","Walked",12,49,660000
"265","Female","Walked",10,48,12000
"266","Female","Walked",5,21,7200
"267","Female","Walked",10,69,18200
"268","Female","Walked",10,20,2000
"269","Female","Walked",45,61,39000
"270","Female","Walked",45,75,113000
"271","Female","Walked",5,23,1e+05
"272","Female","Walked",2,50,68000
"273","Female","Walked",3,54,5000
"274","Female","Walked",20,29,26200
"275","Female","Walked",25,36,120000
