,JWTR_label,AGEP,JWMNP,RAC1P_label,PINCP,DPHY_label
127,Walked,60,15,White alone,80000,No
128,"Car, truck, or van",42,30,White alone,80000,No
129,"Car, truck, or van",50,45,Asian alone,32500,No
130,Subway or elevated,24,40,Two or More Races,14000,No
131,Subway or elevated,47,35,Asian alone,6000,No
132,"Car, truck, or van",46,10,Asian alone,18600,No
133,Subway or elevated,49,40,Asian alone,39000,No
134,Subway or elevated,53,60,White alone,185000,No
135,Subway or elevated,63,138,Some Other Race alone,11400,No
136,Subway or elevated,60,50,White alone,40000,No
137,"Car, truck, or van",47,25,Black or African American alone,102000,No
138,Subway or elevated,48,60,Some Other Race alone,2100,No
139,"Car, truck, or van",52,15,Black or African American alone,28000,No
140,Subway or elevated,24,40,Two or More Races,72000,No
141,Subway or elevated,39,70,Black or African American alone,80030,No
142,"Car, truck, or van",30,10,White alone,70000,No
143,Walked,30,15,White alone,3000,No
144,Subway or elevated,33,45,White alone,62000,No
145,Subway or elevated,23,40,White alone,31000,No
146,Subway or elevated,56,60,Black or African American alone,32000,No
147,Subway or elevated,51,30,White alone,660000,No
148,Subway or elevated,62,90,White alone,58000,No
149,Walked,45,15,Asian alone,30000,No
150,"Car, truck, or van",56,60,Black or African American alone,42000,No
151,Subway or elevated,30,80,White alone,65000,No
152,Subway or elevated,42,30,White alone,20600,No
153,"Car, truck, or van",29,10,Some Other Race alone,52000,No
154,Bus or trolley bus,37,138,Some Other Race alone,18000,No
155,Railroad,42,45,Some Other Race alone,125004,No
156,"Car, truck, or van",31,45,White alone,70000,No
157,"Car, truck, or van",28,90,Black or African American alone,15000,No
158,Ferryboat,62,90,Black or African American alone,60010,No
159,Subway or elevated,34,90,Two or More Races,20000,No
160,Subway or elevated,56,70,Asian alone,12500,No
161,Subway or elevated,35,60,White alone,98000,No
162,Subway or elevated,56,70,White alone,47500,No
163,Bus or trolley bus,27,100,Asian alone,13000,No
164,"Car, truck, or van",44,30,White alone,7900,No
165,Subway or elevated,50,36,White alone,104000,No
166,Subway or elevated,60,75,Asian alone,76900,No
167,Subway or elevated,36,40,Asian alone,91000,No
168,Subway or elevated,58,60,Two or More Races,42000,No
169,Bus or trolley bus,61,30,White alone,15000,No
170,Subway or elevated,24,30,White alone,50000,No
171,"Car, truck, or van",43,138,Asian alone,1.00E+05,No
172,Subway or elevated,55,30,Black or African American alone,20000,No
173,Bus or trolley bus,56,30,White alone,38000,No
174,"Car, truck, or van",64,50,White alone,38000,No
175,"Car, truck, or van",41,25,Black or African American alone,77000,No
176,"Car, truck, or van",29,30,Black or African American alone,15000,No
177,Subway or elevated,24,35,White alone,22000,No
178,Subway or elevated,75,75,White alone,19300,No
179,Subway or elevated,31,50,Asian alone,98400,No
180,Walked,57,20,White alone,106300,No
181,"Car, truck, or van",69,20,White alone,40600,No
182,Walked,43,10,Some Other Race alone,20800,No
183,Walked,32,15,White alone,80000,No
184,Subway or elevated,40,65,Asian alone,85000,No
185,Subway or elevated,35,59,Asian alone,32000,No
186,"Car, truck, or van",45,60,Asian alone,37000,No
187,Subway or elevated,51,138,White alone,55000,No
188,"Car, truck, or van",48,15,White alone,6800,No
189,Subway or elevated,52,70,Black or African American alone,25000,No
190,Subway or elevated,53,30,White alone,47000,No
191,Subway or elevated,76,30,White alone,385000,No
192,Subway or elevated,46,40,White alone,60000,No
193,"Car, truck, or van",48,138,Black or African American alone,35000,No
194,Subway or elevated,70,90,White alone,114000,No
195,Bus or trolley bus,33,90,Black or African American alone,120500,No
196,Subway or elevated,55,30,White alone,660000,No
197,"Car, truck, or van",36,15,Black or African American alone,8000,Yes
198,Subway or elevated,66,75,Asian alone,6500,No
199,Subway or elevated,51,75,Some Other Race alone,59600,No
200,Walked,31,8,White alone,13000,No
201,"Car, truck, or van",66,60,White alone,53000,No
202,"Car, truck, or van",66,60,Some Other Race alone,36000,Yes
203,Subway or elevated,56,25,Some Other Race alone,10000,No
204,"Car, truck, or van",54,10,Two or More Races,45000,No
205,"Car, truck, or van",45,25,Black or African American alone,42200,No
206,Subway or elevated,37,60,White alone,47000,No
207,Walked,30,15,White alone,40000,No
208,Bicycle,28,15,White alone,78000,No
209,Bus or trolley bus,74,40,Black or African American alone,12200,No
210,Walked,45,30,White alone,25000,No
211,Subway or elevated,26,30,Asian alone,27000,No
212,"Car, truck, or van",52,45,Black or African American alone,58000,No
213,"Car, truck, or van",60,60,White alone,50000,No
214,Subway or elevated,56,85,White alone,64300,No
215,Walked,19,20,White alone,4200,No
216,Bicycle,21,15,White alone,4000,No
217,Subway or elevated,46,40,Black or African American alone,39000,No
218,Subway or elevated,54,60,Black or African American alone,25000,No
219,Bus or trolley bus,52,138,Black or African American alone,70000,No
220,Subway or elevated,59,60,Asian alone,18000,No
221,"Car, truck, or van",37,45,White alone,63000,No
222,"Car, truck, or van",37,20,Asian alone,13500,No
223,Bus or trolley bus,53,40,Some Other Race alone,19000,No
224,"Car, truck, or van",28,20,Black or African American alone,60000,No
225,Bus or trolley bus,60,138,White alone,80000,No
226,"Car, truck, or van",61,25,White alone,55000,No
227,"Car, truck, or van",54,20,Some Other Race alone,44100,No
228,Bus or trolley bus,52,50,Black or African American alone,42000,No
229,Subway or elevated,18,60,Black or African American alone,10000,No
230,"Car, truck, or van",44,20,Some Other Race alone,16400,No
231,Walked,31,10,Asian alone,75500,No
232,Subway or elevated,27,45,White alone,50000,No
233,Bus or trolley bus,35,60,Some Other Race alone,6500,No
234,Subway or elevated,18,70,Two or More Races,21100,No
235,"Car, truck, or van",55,30,White alone,90000,No
236,Subway or elevated,29,45,Black or African American alone,14300,No
237,Subway or elevated,37,60,White alone,51000,No
238,Bicycle,44,10,Asian alone,12700,No
239,Subway or elevated,59,138,Black or African American alone,42000,No
240,Subway or elevated,50,90,White alone,55600,No
241,Subway or elevated,27,80,White alone,52000,No
242,Subway or elevated,62,15,White alone,121000,No
243,Subway or elevated,44,45,White alone,175000,No
244,Subway or elevated,54,40,White alone,90000,No
245,"Car, truck, or van",55,20,White alone,20000,No
246,Subway or elevated,48,60,Black or African American alone,31200,No
247,Railroad,38,69,Black or African American alone,97000,No
248,Subway or elevated,26,60,Asian alone,1.00E+05,No
249,Bus or trolley bus,51,138,Black or African American alone,48000,No
250,Subway or elevated,36,45,White alone,45000,No
251,Bicycle,29,15,White alone,96000,No
252,"Car, truck, or van",55,30,White alone,12000,No
253,"Car, truck, or van",49,30,White alone,110700,No
254,Walked,43,5,Asian alone,35000,No
255,Subway or elevated,56,35,White alone,43000,No
256,"Car, truck, or van",61,20,White alone,1.00E+05,No
257,"Car, truck, or van",59,80,Some Other Race alone,91000,No
258,Bus or trolley bus,58,30,White alone,104000,No
259,Subway or elevated,62,45,Asian alone,88500,No
260,"Car, truck, or van",49,40,Black or African American alone,36000,No
261,Subway or elevated,55,50,Some Other Race alone,20000,No
262,Subway or elevated,47,60,Asian alone,37000,No
263,Railroad,58,75,White alone,44000,No
264,Subway or elevated,29,20,White alone,250500,No
265,Subway or elevated,58,35,Asian alone,10400,No
266,Bus or trolley bus,28,60,Some Other Race alone,1100,No
267,"Car, truck, or van",44,15,White alone,182000,No
268,Subway or elevated,65,50,White alone,35000,No
269,Subway or elevated,29,60,White alone,50000,No
270,Subway or elevated,54,45,Some Other Race alone,72000,No
271,Subway or elevated,53,90,White alone,114040,No
272,Other method,53,138,Black or African American alone,28000,No
273,"Car, truck, or van",58,60,Two or More Races,50200,No
274,"Car, truck, or van",35,45,Two or More Races,93000,No
275,Subway or elevated,51,35,Black or African American alone,57200,No
276,Bus or trolley bus,35,75,Black or African American alone,70000,No
